Numéro de l'épisode,Titre de l'épisode
Episode 1,Les Frères de l'espace
Episode 2,Le Prince d'un autre monde
Episode 3,La Fiesta tragique
Episode 4,L'Île de la peur
Episode 5,Le Traquenard de la mort
Episode 6,Attaque sur Perlépolis
Episode 7,Le Festin des loups
Episode 8,Les radars se sont tus
Episode 9,Le Camp de la Lune noire
Episode 10,L'espion qui venait de Véga
Episode 11,Le jour où le soleil s'arrêta
Episode 12,Du sang sur la neige
Episode 13,Par le fer et par le feu
Episode 14,Le Jour du soleil levant
Episode 15,Akereb la rouge
Episode 16,Le Fiancé de la mort
Episode 17,La Chevauchée infernale
Episode 18,Le Nouveau Temps des cavernes
Episode 19,Le village écrasé
Episode 20,Terre en danger
Episode 21,Les Continents submergés
Episode 22,Les Massacreurs du ciel
Episode 23,Le Déluge des mondes
Episode 24,L'Exécuteur
Episode 25,Les Amoureux d'Euphor
Episode 26,Les Bords de l'abîme
Episode 27,Vaincre ou périr
Episode 28,Les Nouveaux Maîtres des ténèbres
Episode 29,L'Oiseau de feu
Episode 30,La Pierre de foudre
Episode 31,Don Quichotte de l'espace
Episode 32,La Reine fantôme
Episode 33,Les Ailes de la mort
Episode 34,Le Mercenaire de l'oppression
Episode 35,Le Premier Raid
Episode 36,L'Invincible du cosmos
Episode 37,Une étoile est morte
Episode 38,Les Faiseurs de ténèbres
Episode 39,La Patrouille des aigles
Episode 40,Le Réveil des volcans
Episode 41,Le Baptême du feu
Episode 42,Péril en la demeure
Episode 43,La Victoire des aigles
Episode 44,Quand les chiens sont lâchés
Episode 45,Des fourmis et des hommes
Episode 46,Le Ballet des requins
Episode 47,Le Lac embrasé
Episode 48,Un monde en fusion
Episode 49,La Dernière Survivante
Episode 50,L'Aigle à quatre têtes
Episode 51,L'Étoile noire
Episode 52,La Génération des monstres
Episode 53,La Bête
Episode 54,Le Serpent
Episode 55,Le Monstre du Loch Ness
Episode 56,Le Lynx de l'espace
Episode 57,Le Monstre et l'Enfant
Episode 58,Le Sosie
Episode 59,Le Commando
Episode 60,Les Rats
Episode 61,Pégase
Episode 62,Les Cygnes
Episode 63,L'Ours polaire
Episode 64,Cinq minutes pour mourir
Episode 65,Un grand entre les grands
Episode 66,La mort vient de la mer
Episode 67,Opération plongée
Episode 68,La Grande Douleur
Episode 69,"Tel père, tel fils"
Episode 70,L'Imposture
Episode 71,Le Meilleur Ami
Episode 72,La Princesse amoureuse
Episode 73,Pour l'amour de la Terre
Episode 74,Ce n'est qu'un au revoir
